name,hostelid,city,url
Hotel Hippodrome Montmartre,615,Paris,https://www.hostelworld.com/hosteldetails.php/Hotel-Hippodrome-Montmartre/Paris/615
Kyriad Italie Gobelins,3213,Paris,https://www.hostelworld.com/hosteldetails.php/Kyriad-Italie-Gobelins/Paris/3213
Hotel Rachel,102269,Paris,https://www.hostelworld.com/hosteldetails.php/Hotel-Rachel/Paris/102269
Korner Eiffel Hotel,3091,Paris,https://www.hostelworld.com/hosteldetails.php/Korner-Eiffel-Hotel/Paris/3091
Hotel Le Rocroy *** Gare du Nord,35200,Paris,https://www.hostelworld.com/hosteldetails.php/Hotel-Le-Rocroy-Gare-du-Nord/Paris/35200
Residence Courcelle,88926,Paris,https://www.hostelworld.com/hosteldetails.php/Residence-Courcelle/Paris/88926
Hotel Residence Villiers,36824,Paris,https://www.hostelworld.com/hosteldetails.php/Hotel-Residence-Villiers/Paris/36824
Hotel Floridor Etoile,47756,Paris,https://www.hostelworld.com/hosteldetails.php/Hotel-Floridor-Etoile/Paris/47756
Hotel Luxia,6091,Paris,https://www.hostelworld.com/hosteldetails.php/Hotel-Luxia/Paris/6091
Hotel Audran,35618,Paris,https://www.hostelworld.com/hosteldetails.php/Hotel-Audran/Paris/35618
Hotel Paris Saint-Honore,68216,Paris,https://www.hostelworld.com/hosteldetails.php/Hotel-Paris-Saint-Honore/Paris/68216
Cecilia's Guest House,23570,Paris,https://www.hostelworld.com/hosteldetails.php/Cecilia-s-Guest-House/Paris/23570
Handcircle,79988,Paris,https://www.hostelworld.com/hosteldetails.php/Handcircle/Paris/79988
Sully Hotel,71635,Paris,https://www.hostelworld.com/hosteldetails.php/Sully-Hotel/Paris/71635
Hotel de l'Europe,1653,Paris,https://www.hostelworld.com/hosteldetails.php/Hotel-de-l-Europe/Paris/1653
Grand Hotel Clichy,275336,Paris,https://www.hostelworld.com/hosteldetails.php/Grand-Hotel-Clichy/Paris/275336
Avalon Hotel Paris *** Gare du Nord,15381,Paris,https://www.hostelworld.com/hosteldetails.php/Avalon-Hotel-Paris-Gare-du-Nord/Paris/15381
Hotel Prince Monceau,7052,Paris,https://www.hostelworld.com/hosteldetails.php/Hotel-Prince-Monceau/Paris/7052
Hotel AlizÃ© Montmartre,269550,Paris,https://www.hostelworld.com/hosteldetails.php/Hotel-Alize-Montmartre/Paris/269550
Hotel Ermitage,3485,Paris,https://www.hostelworld.com/hosteldetails.php/Hotel-Ermitage/Paris/3485
Hotel Reseda,13175,Paris,https://www.hostelworld.com/hosteldetails.php/Hotel-Reseda/Paris/13175
Corona Rodier,282243,Paris,https://www.hostelworld.com/hosteldetails.php/Corona-Rodier/Paris/282243
HÃ´tel Brasserie TrÃ©ma,101535,Paris,https://www.hostelworld.com/hosteldetails.php/Hotel-Brasserie-Trema/Paris/101535
Hotel Beaunier,37,Paris,https://www.hostelworld.com/hosteldetails.php/Hotel-Beaunier/Paris/37
Garden Opera,5073,Paris,https://www.hostelworld.com/hosteldetails.php/Garden-Opera/Paris/5073
Avenir Hotel,1656,Paris,https://www.hostelworld.com/hosteldetails.php/Avenir-Hotel/Paris/1656
Hotel Clarisse,3049,Paris,https://www.hostelworld.com/hosteldetails.php/Hotel-Clarisse/Paris/3049
Luxelthe Hotel,88275,Paris,https://www.hostelworld.com/hosteldetails.php/Luxelthe-Hotel/Paris/88275
Hotel de la Felicite,12782,Paris,https://www.hostelworld.com/hosteldetails.php/Hotel-de-la-Felicite/Paris/12782
Hipotel Paris Buttes Chaumont,71253,Paris,https://www.hostelworld.com/hosteldetails.php/Hipotel-Paris-Buttes-Chaumont/Paris/71253
Hotel Paris Bruxelles - Paris,66870,Paris,https://www.hostelworld.com/hosteldetails.php/Hotel-Paris-Bruxelles-Paris/Paris/66870
Grand Hotel Magenta,8640,Paris,https://www.hostelworld.com/hosteldetails.php/Grand-Hotel-Magenta/Paris/8640
Hotel Riviera,36756,Paris,https://www.hostelworld.com/hosteldetails.php/Hotel-Riviera/Paris/36756
Hotel Beaugrenelle Tour Eiffel,8712,Paris,https://www.hostelworld.com/hosteldetails.php/Hotel-Beaugrenelle-Tour-Eiffel/Paris/8712
Adonis Sacre Coeur Hotel Roma,263702,Paris,https://www.hostelworld.com/hosteldetails.php/Adonis-Sacre-Coeur-Hotel-Roma/Paris/263702
Hotel de l'Exposition,68778,Paris,https://www.hostelworld.com/hosteldetails.php/Hotel-de-l-Exposition/Paris/68778
Beautiful City Hostel,82055,Paris,https://www.hostelworld.com/hosteldetails.php/Beautiful-City-Hostel/Paris/82055
Best Western Le 18 Paris,265653,Paris,https://www.hostelworld.com/hosteldetails.php/Best-Western-Le-18-Paris/Paris/265653
Hotel Voltaire Republique,5136,Paris,https://www.hostelworld.com/hosteldetails.php/Hotel-Voltaire-Republique/Paris/5136
GOLDHOTEL,40193,Paris,https://www.hostelworld.com/hosteldetails.php/GOLDHOTEL/Paris/40193
Hotel Bervic Montmartre,98715,Paris,https://www.hostelworld.com/hosteldetails.php/Hotel-Bervic-Montmartre/Paris/98715
Hotel Cordelia,270855,Paris,https://www.hostelworld.com/hosteldetails.php/Hotel-Cordelia/Paris/270855
HÃ´tel de la ComÃ¨te,265099,Paris,https://www.hostelworld.com/hosteldetails.php/Hotel-de-la-Comete/Paris/265099
Hotel Edouard VI,13852,Paris,https://www.hostelworld.com/hosteldetails.php/Hotel-Edouard-VI/Paris/13852
Hotel Briand,16357,Paris,https://www.hostelworld.com/hosteldetails.php/Hotel-Briand/Paris/16357
Hotel Regina,79318,Paris,https://www.hostelworld.com/hosteldetails.php/Hotel-Regina/Paris/79318
Villa des Princes,605,Paris,https://www.hostelworld.com/hosteldetails.php/Villa-des-Princes/Paris/605
Classics HÃ´tel Porte de Versailles,67619,Paris,https://www.hostelworld.com/hosteldetails.php/Classics-Hotel-Porte-de-Versailles/Paris/67619
Neuilly Park Hotel Porte Maillot,13853,Paris,https://www.hostelworld.com/hosteldetails.php/Neuilly-Park-Hotel-Porte-Maillot/Paris/13853
Hotel Altona**,3393,Paris,https://www.hostelworld.com/hosteldetails.php/Hotel-Altona/Paris/3393
Hotel des Buttes Chaumont,97555,Paris,https://www.hostelworld.com/hosteldetails.php/Hotel-des-Buttes-Chaumont/Paris/97555
Hotel Alize Grenelle Tour Eiffel,14070,Paris,https://www.hostelworld.com/hosteldetails.php/Hotel-Alize-Grenelle-Tour-Eiffel/Paris/14070
Le Clos dâAlesia,64552,Paris,https://www.hostelworld.com/hosteldetails.php/Le-Clos-dAlesia/Paris/64552
Hotel Chemin Vert,68419,Paris,https://www.hostelworld.com/hosteldetails.php/Hotel-Chemin-Vert/Paris/68419
Hotel Montparnasse Saint Germain,87352,Paris,https://www.hostelworld.com/hosteldetails.php/Hotel-Montparnasse-Saint-Germain/Paris/87352
Auberge Flora,72516,Paris,https://www.hostelworld.com/hosteldetails.php/Auberge-Flora/Paris/72516
Hotel International,274602,Paris,https://www.hostelworld.com/hosteldetails.php/Hotel-International/Paris/274602
Best Western Nouvel Orleans Montparnasse,71785,Paris,https://www.hostelworld.com/hosteldetails.php/Best-Western-Nouvel-Orleans-Montparnasse/Paris/71785
Avalon AppartâHotel Paris Gare du Nord,37875,Paris,https://www.hostelworld.com/hosteldetails.php/Avalon-AppartHotel-Paris-Gare-du-Nord/Paris/37875
HÃ´tel des Deux Avenues,40815,Paris,https://www.hostelworld.com/hosteldetails.php/Hotel-des-Deux-Avenues/Paris/40815
Hotel Yllen Eiffel***,27,Paris,https://www.hostelworld.com/hosteldetails.php/Hotel-Yllen-Eiffel/Paris/27
Hotel de l'Union,99006,Paris,https://www.hostelworld.com/hosteldetails.php/Hotel-de-l-Union/Paris/99006
Hotel Richard,2600,Paris,https://www.hostelworld.com/hosteldetails.php/Hotel-Richard/Paris/2600
Le Glamâs HÃ´tel,21903,Paris,https://www.hostelworld.com/hosteldetails.php/Le-Glams-Hotel/Paris/21903
Hotel Tamaris,35442,Paris,https://www.hostelworld.com/hosteldetails.php/Hotel-Tamaris/Paris/35442
Hotel Opera Vivaldi 3***,29730,Paris,https://www.hostelworld.com/hosteldetails.php/Hotel-Opera-Vivaldi-3/Paris/29730
Hotel Claude Bernard Saint Germain,93935,Paris,https://www.hostelworld.com/hosteldetails.php/Hotel-Claude-Bernard-Saint-Germain/Paris/93935
Hotel Arc de Triomphe Etoile,275335,Paris,https://www.hostelworld.com/hosteldetails.php/Hotel-Arc-de-Triomphe-Etoile/Paris/275335
Champerret Elysees Hotel,79837,Paris,https://www.hostelworld.com/hosteldetails.php/Champerret-Elysees-Hotel/Paris/79837
ElysÃ©es Opera Hotel,79838,Paris,https://www.hostelworld.com/hosteldetails.php/Elysees-Opera-Hotel/Paris/79838
Hotel Nation Montmartre,67992,Paris,https://www.hostelworld.com/hosteldetails.php/Hotel-Nation-Montmartre/Paris/67992
Hotel Comete Paris,265264,Paris,https://www.hostelworld.com/hosteldetails.php/Hotel-Comete-Paris/Paris/265264
Hotel Villa Glamour,68641,Paris,https://www.hostelworld.com/hosteldetails.php/Hotel-Villa-Glamour/Paris/68641
Best Western Quartier latin PanthÃ©on,77168,Paris,https://www.hostelworld.com/hosteldetails.php/Best-Western-Quartier-latin-Pantheon/Paris/77168
Hotel Bristol Republique,264520,Paris,https://www.hostelworld.com/hosteldetails.php/Hotel-Bristol-Republique/Paris/264520
Rest Up London,62036,London,https://www.hostelworld.com/hosteldetails.php/Rest-Up-London/London/62036
Generator Hostel London,510,London,https://www.hostelworld.com/hosteldetails.php/Generator-Hostel-London/London/510
Wombats City Hostel London,88047,London,https://www.hostelworld.com/hosteldetails.php/Wombats-City-Hostel-London/London/88047
Clink78,21954,London,https://www.hostelworld.com/hosteldetails.php/Clink78/London/21954
Hostel One Camden,283734,London,https://www.hostelworld.com/hosteldetails.php/Hostel-One-Camden/London/283734
SoHostel,92473,London,https://www.hostelworld.com/hosteldetails.php/SoHostel/London/92473
Safestay London Elephant & Castle,55551,London,https://www.hostelworld.com/hosteldetails.php/Safestay-London-Elephant-and-Castle/London/55551
Palmers Lodge - Hillspring at Willesden Green,36345,London,https://www.hostelworld.com/hosteldetails.php/Palmers-Lodge-Hillspring-at-Willesden-Green/London/36345
Palmers Lodge - Swiss Cottage,14348,London,https://www.hostelworld.com/hosteldetails.php/Palmers-Lodge-Swiss-Cottage/London/14348
Clink261,516,London,https://www.hostelworld.com/hosteldetails.php/Clink261/London/516
Hostel One Notting Hill,291433,London,https://www.hostelworld.com/hosteldetails.php/Hostel-One-Notting-Hill/London/291433
Astor Museum Inn,520,London,https://www.hostelworld.com/hosteldetails.php/Astor-Museum-Inn/London/520
St Christopher's Village,502,London,https://www.hostelworld.com/hosteldetails.php/St-Christopher-s-Village/London/502
Astor Victoria,524,London,https://www.hostelworld.com/hosteldetails.php/Astor-Victoria/London/524
Keystone House Kings Cross,43465,London,https://www.hostelworld.com/hosteldetails.php/Keystone-House-Kings-Cross/London/43465
Astor Hyde Park,25678,London,https://www.hostelworld.com/hosteldetails.php/Astor-Hyde-Park/London/25678
"The Dictionary Hostel, Shoreditch, London",61178,London,https://www.hostelworld.com/hosteldetails.php/The-Dictionary-Hostel-Shoreditch-London/London/61178
Saint James Backpackers,70909,London,https://www.hostelworld.com/hosteldetails.php/Saint-James-Backpackers/London/70909
Astor Kensington,523,London,https://www.hostelworld.com/hosteldetails.php/Astor-Kensington/London/523
YHA London Oxford Street,6996,London,https://www.hostelworld.com/hosteldetails.php/YHA-London-Oxford-Street/London/6996
St Christopher's Inn - London Bridge,503,London,https://www.hostelworld.com/hosteldetails.php/St-Christopher-s-Inn-London-Bridge/London/503
The Walrus Hostel,58378,London,https://www.hostelworld.com/hosteldetails.php/The-Walrus-Hostel/London/58378
Via Limehouse,100584,London,https://www.hostelworld.com/hosteldetails.php/Via-Limehouse/London/100584
MEININGER London Hyde Park,17414,London,https://www.hostelworld.com/hosteldetails.php/MEININGER-London-Hyde-Park/London/17414
No.8 Seven Sisters,91108,London,https://www.hostelworld.com/hosteldetails.php/No-8-Seven-Sisters/London/91108
St Christopher's Camden,505,London,https://www.hostelworld.com/hosteldetails.php/St-Christopher-s-Camden/London/505
The Hurdwick,285882,London,https://www.hostelworld.com/hosteldetails.php/The-Hurdwick/London/285882
No.8 Willesden Hostel London,18420,London,https://www.hostelworld.com/hosteldetails.php/No-8-Willesden-Hostel-London/London/18420
YHA London Central,23598,London,https://www.hostelworld.com/hosteldetails.php/YHA-London-Central/London/23598
Gallery Hyde Park,73177,London,https://www.hostelworld.com/hosteldetails.php/Gallery-Hyde-Park/London/73177
Phoenix Hostel,48221,London,https://www.hostelworld.com/hosteldetails.php/Phoenix-Hostel/London/48221
St Christopher's Hammersmith,20976,London,https://www.hostelworld.com/hosteldetails.php/St-Christopher-s-Hammersmith/London/20976
YHA London St Pancras,7010,London,https://www.hostelworld.com/hosteldetails.php/YHA-London-St-Pancras/London/7010
Central Hostel,5159,London,https://www.hostelworld.com/hosteldetails.php/Central-Hostel/London/5159
No.8 at The White Horse,268091,London,https://www.hostelworld.com/hosteldetails.php/No-8-at-The-White-Horse/London/268091
Via London,265813,London,https://www.hostelworld.com/hosteldetails.php/Via-London/London/265813
London Backpackers,527,London,https://www.hostelworld.com/hosteldetails.php/London-Backpackers/London/527
Abercorn House,34216,London,https://www.hostelworld.com/hosteldetails.php/Abercorn-House/London/34216
Barmy Badger Backpackers,64746,London,https://www.hostelworld.com/hosteldetails.php/Barmy-Badger-Backpackers/London/64746
Destinations at The Rose & Crown,62973,London,https://www.hostelworld.com/hosteldetails.php/Destinations-at-The-Rose-and-Crown/London/62973
Park Villa,98066,London,https://www.hostelworld.com/hosteldetails.php/Park-Villa/London/98066
St Christopher's Inn - Liverpool Street,271698,London,https://www.hostelworld.com/hosteldetails.php/St-Christopher-s-Inn-Liverpool-Street/London/271698
St Christopher's Greenwich,501,London,https://www.hostelworld.com/hosteldetails.php/St-Christopher-s-Greenwich/London/501
London Waterloo Hostel,39493,London,https://www.hostelworld.com/hosteldetails.php/London-Waterloo-Hostel/London/39493
Safestay London Kensington Holland Park,93920,London,https://www.hostelworld.com/hosteldetails.php/Safestay-London-Kensington-Holland-Park/London/93920
Smart Russell Square Hostel,29412,London,https://www.hostelworld.com/hosteldetails.php/Smart-Russell-Square-Hostel/London/29412
Venture Hostel,14746,London,https://www.hostelworld.com/hosteldetails.php/Venture-Hostel/London/14746
St Christopher's Shepherds Bush,506,London,https://www.hostelworld.com/hosteldetails.php/St-Christopher-s-Shepherds-Bush/London/506
The London Home Hostel,80690,London,https://www.hostelworld.com/hosteldetails.php/The-London-Home-Hostel/London/80690
Dover Castle Hostel and Bar,530,London,https://www.hostelworld.com/hosteldetails.php/Dover-Castle-Hostel-and-Bar/London/530
Pickwick Hall,7502,London,https://www.hostelworld.com/hosteldetails.php/Pickwick-Hall/London/7502
Queen Elizabeth Chelsea,50443,London,https://www.hostelworld.com/hosteldetails.php/Queen-Elizabeth-Chelsea/London/50443
The Horse and Stables,81959,London,https://www.hostelworld.com/hosteldetails.php/The-Horse-and-Stables/London/81959
Prime Backpackers Angel,93902,London,https://www.hostelworld.com/hosteldetails.php/Prime-Backpackers-Angel/London/93902
St Christopher's Oasis-Female Only,504,London,https://www.hostelworld.com/hosteldetails.php/St-Christopher-s-Oasis-Female-Only/London/504
247london Hostel and Private Rooms,64523,London,https://www.hostelworld.com/hosteldetails.php/247london-Hostel-and-Private-Rooms/London/64523
Home London,8364,London,https://www.hostelworld.com/hosteldetails.php/Home-London/London/8364
Green Rooms,271479,London,https://www.hostelworld.com/hosteldetails.php/Green-Rooms/London/271479
Pride of Paddington,48393,London,https://www.hostelworld.com/hosteldetails.php/Pride-of-Paddington/London/48393
Atlas Hostels,79008,London,https://www.hostelworld.com/hosteldetails.php/Atlas-Hostels/London/79008
Smart Hyde Park View Hostel,8069,London,https://www.hostelworld.com/hosteldetails.php/Smart-Hyde-Park-View-Hostel/London/8069
YHA London St Pauls,6977,London,https://www.hostelworld.com/hosteldetails.php/YHA-London-St-Pauls/London/6977
International Students  House,515,London,https://www.hostelworld.com/hosteldetails.php/International-Students-House/London/515
